text,department
"* 148 experts (Civil Defense rescue workers, forensic specialists, specialist doctors (counseling) * repatriations * humanitarian supplies: 80 metric tons have been sent (medicines, clothing, tents, foodstuffs, water purification units, technical equipment) * a maritime patrol aircraft (Bréguet Atlantique 2) for air/sea search and rescue * 3 million (about $3.9 or ¬¨¬£2.1 million) for water purification equipment (Sri Lanka)",Water
"From Jordan, a medical assistance team of four members, consisting of two vascular surgeons and two ultrasound technologists, is scheduled for dispatch to Japan on Monday, April 25.",Health
Last street light on 4th B Cross Opp Om Shakti Temple Banjara layout Extension Horamavu Bangalore is not working this is my fourth complaint in tbe last year no action has been taken just i get a message it's resolved but so far no one attended it or resolved it i have called Mr Suresh the concerned official so many times he keeps promising me it will be resolved today or tomorrow but a year on no action taken,Electricity
"After MSF did the rehabilitation work to set up infection control and to upgrade the equipment of the triage, consultation rooms and pediatrics ward, MSF staff started working inside the JDJ hospital to support Ministry of Health staff.",Health
"Initially, the UN Children's Fund (UNICEF) has distributed energy biscuits, kitchen kits and blankets; the Ministry of Health and the World Health Organization are providing medicines and water purification; UNHCR has provided 500 tents drawn from stockpiles in Douala, Cameroon, and is coordinating the response.",Water
"According to Kurbanov, the general health of the population is declining partly as a result of sexually transmitted diseases brought home by Tajiks who have been working elsewhere.The United States Embassy has issued a travel warning to its citizens in Sri Lanka ""to act with caution when traveling or working in the Eastern region of the country because of on-going violence, including politically motivated assassinations in that area.""",Safety
"We have an ongoing issue where the sewage   hole is overflowing which in turn has damaged my underground water tank due sepage resulting in drinking water contamination.
This is the 3rd time we are facing this issue.In the past we took service from bro4u and got the tank pressure cleaned as their was no support from bbmp even after raising the complaint.

I request respective deparment to take necessary action at the earliest as we are facing crunch in supply of drinking water.",Health
"Roads are damaged due to broken sewage lines, entire HSR, Somasundar Palya, Harlur area has a bad stinking smell which is coming out from the sewage throughout the day. Roads are in bad shape with potholes which are creating huge traffic jams during peak hours. Road repairing and potholes closure need to be addressed immediately to help the residents live in peace.",Roads
rat infestation in building,Animal Control
cockroach infestation in market,Animal Control
We're a family group living in Cabaret there are 20 of us that need tents ,Housing
We need water and food at Port au Prince,Water
"World Vision has provided 91 toilets, 104 bathrooms, 15 drilled wells, 6 water tanks, 45 garbage containers and 1 drainage system, benefiting 22,864 internally displaced persons (IDP) in Aceh Besar, Lhoong, Banda Aceh, Lamno, Meulaboh and Leupung.",Water
Street lights not working,Electricity
"Preval disaster-stricken, Palace broken, Port-au-prince becomes cemetery. ",Housing
wild animal spotted in colony,Animal Control
Banyan tree branches has extended over electric lines hitting our house wall and grown over the terrace. A complaint has been raised with BBMP 20080609 in November last year and also submitted a written letter to the forest department along with photos. No action has been taken so far.,Housing
"There is building right opposite to our balconies, the name outside the building is Innov controls technology Pvt. Ltd. There are 2-3 floors and each floor has different buisness I guess. First of all they have the Mirror effect windows because of which we cannot know what's going on inside during the daytime. But I have noticed few times that there will be guys standing there and staring into our houses. And during night time after they turn on the lights it's clearly visible. I am not sure what business they are doing but they keep looking into our houses. Once or twice when I went outside in my balcony I even heard them making noises so that I look towards them. It is like we can't be free inside our own houses. I think a police should come and inspect once and see what business they are doing there and also take strict action against them.",Safety
